类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
Z0701,银行,,巨潮行业分类标准,008002,Banks,Z07,2
Z070101,银行,,巨潮行业分类标准,008002,Banks,Z0701,3
Z07010101,综合性银行,,巨潮行业分类标准,008002,Comprehensive Bank,Z070101,4
Z07010102,区域性银行,,巨潮行业分类标准,008002,Regional Bank,Z070101,4
Z07010103,其他商业银行,,巨潮行业分类标准,008002,Other Commercial Banks,Z070101,4
Z0702,综合金融,,巨潮行业分类标准,008002,Diversified Financials,Z07,2
Z070201,证券,,巨潮行业分类标准,008002,Securities,Z0702,3
Z07020101,证券,,巨潮行业分类标准,008002,Securities,Z070201,4
Z070202,保险,,巨潮行业分类标准,008002,Insurance,Z0702,3
Z07020201,人身保险,,巨潮行业分类标准,008002,Life Insurance,Z070202,4
Z07020202,财产保险,,巨潮行业分类标准,008002,Property Insurance,Z070202,4
Z07020203,多元化保险,,巨潮行业分类标准,008002,Diversified Insurance,Z070202,4
Z07020204,再保险,,巨潮行业分类标准,008002,Reinsurance,Z070202,4
Z070203,投资信托,,巨潮行业分类标准,008002,Investment Trusts,Z0702,3
Z07020301,投资信托,,巨潮行业分类标准,008002,Investment Trusts,Z070203,4
Z070204,其他金融服务,,巨潮行业分类标准,008002,Other Financial Services,Z0702,3
Z07020401,其他金融服务,,巨潮行业分类标准,008002,Other Financial Services,Z070204,4
Z070205,消费金融,,巨潮行业分类标准,008002,Consumer Finance,Z0702,3
Z07020501,消费金融,,巨潮行业分类标准,008002,Consumer Finance,Z070205,4
Z0703,资本市场服务,,巨潮行业分类标准,008002,Capital Market Services,Z07,2
Z070301,资本市场服务,,巨潮行业分类标准,008002,Capital Market Services,Z0703,3
Z07030101,证券市场服务,,巨潮行业分类标准,008002,Securities Market Service,Z070301,4
Z07030102,基金管理服务,,巨潮行业分类标准,008002,Fund Management Service,Z070301,4
Z07030103,期货市场服务,,巨潮行业分类标准,008002,Futures Market Service,Z070301,4
Z07030104,金融数据服务,,巨潮行业分类标准,008002,Financial Data Service,Z070301,4
Z08,信息技术,,巨潮行业分类标准,008002,Information Technology,Z,1
Z0801,软件与互联网,,巨潮行业分类标准,008002,Software and Internet,Z08,2
Z080101,互联网软件与服务,,巨潮行业分类标准,008002,Internet Software & Services,Z0801,3
Z08010101,互联网软件与服务,,巨潮行业分类标准,008002,Internet Software & Services,Z080101,4
Z080102,信息技术服务,,巨潮行业分类标准,008002,IT Services,Z0801,3
Z08010201,数据处理与外包服务,,巨潮行业分类标准,008002,Data Processing and Outsourced Services,Z080102,4
Z08010202,信息科技咨询与其他服务,,巨潮行业分类标准,008002,IT Consulting and Other Services,Z080102,4
Z080103,计算机软件,,巨潮行业分类标准,008002,Computer Software,Z0801,3
Z08010301,应用软件,,巨潮行业分类标准,008002,Application Software,Z080103,4
Z08010302,系统软件,,巨潮行业分类标准,008002,Systems Software,Z080103,4
Z0802,技术硬件与设备,,巨潮行业分类标准,008002,Technology Hardware and Equipment,Z08,2
Z080201,电脑与外围设备,,巨潮行业分类标准,008002,Computers and Peripherals,Z0802,3
Z08020101,电脑硬件,,巨潮行业分类标准,008002,Computer Hardware,Z080201,4
Z08020102,电脑存储与外围设备,,巨潮行业分类标准,008002,Computer Storage & Peripherals,Z080201,4
Z080202,电子设备及服务,,巨潮行业分类标准,008002,Electronic Equipment and Services,Z0802,3
Z08020201,电子设备与仪器,,巨潮行业分类标准,008002,Electronic Equipment and Instruments,Z080202,4
Z08020202,电子制造服务,,巨潮行业分类标准,008002,Electronic Manufacturing Services,Z080202,4
Z08020203,技术产品经销商,,巨潮行业分类标准,008002,Technology Distributors,Z080202,4
Z080203,电子元器件,,巨潮行业分类标准,008002,Electronic Components,Z0802,3
Z08020301,电子元器件,,巨潮行业分类标准,008002,Electronic Components,Z080203,4
Z080204,光电子器件,,巨潮行业分类标准,008002,Optoelectronic Devices,Z0802,3
Z08020401,光电子器件,,巨潮行业分类标准,008002,Optoelectronic Devices,Z080204,4
Z0803,半导体,,巨潮行业分类标准,008002,Semiconductors,Z08,2
Z080301,半导体,,巨潮行业分类标准,008002,Semiconductors,Z0803,3
Z08030101,集成电路,,巨潮行业分类标准,008002,IC,Z080301,4
Z08030102,分立器件,,巨潮行业分类标准,008002,Discrete Devices,Z080301,4
Z09,电信业务,,巨潮行业分类标准,008002,Telecommunication Services,Z,1
Z0901,电信服务,,巨潮行业分类标准,008002,Telecommunication Services,Z09,2
Z090101,电信运营,,巨潮行业分类标准,008002,Telecommunications,Z0901,3
Z09010101,电信运营,,巨潮行业分类标准,008002,Telecom Operation,Z090101,4
Z090102,电信增值服务,,巨潮行业分类标准,008002,Telecom Value-added Services,Z0901,3
Z09010201,电信增值服务,,巨潮行业分类标准,008002,Telecom Value-added Services,Z090102,4
Z0902,通信设备及技术服务,,巨潮行业分类标准,008002,Communications Equipment and Technology Services,Z09,2
Z090201,通信设备,,巨潮行业分类标准,008002,Communications Equipment,Z0902,3
Z09020101,通信设备,,巨潮行业分类标准,008002,Communications Equipment,Z090201,4
Z090202,通信技术服务,,巨潮行业分类标准,008002,Communications Technology Service,Z0902,3
Z09020201,通信技术服务,,巨潮行业分类标准,008002,Communications Technology Service,Z090202,4
Z10,公用事业,,巨潮行业分类标准,008002,Utilities,Z,1
Z1001,公用事业,,巨潮行业分类标准,008002,Utilities,Z10,2
Z100101,电力公用事业,,巨潮行业分类标准,008002,Electric Utilities,Z1001,3
Z10010101,电力公用事业,,巨潮行业分类标准,008002,Electric Utilities,Z100101,4
Z100102,燃气公用事业,,巨潮行业分类标准,008002,Gas Utilities,Z1001,3
Z10010201,燃气公用事业,,巨潮行业分类标准,008002,Gas Utilities,Z100102,4
Z100103,水公用事业,,巨潮行业分类标准,008002,Water Utilities,Z1001,3
Z10010301,水公用事业,,巨潮行业分类标准,008002,Water Utilities,Z100103,4
Z100104,复合型公用事业,,巨潮行业分类标准,008002,Multi-Utilities,Z1001,3
Z10010401,复合型公用事业,,巨潮行业分类标准,008002,Multi-Utilities,Z100104,4
Z11,房地产,,巨潮行业分类标准,008002,Real Estate,Z,1
Z1101,房地产开发和管理,,巨潮行业分类标准,008002,Real Estate Management & Development,Z11,2
Z110101,住宅地产开发和管理,,巨潮行业分类标准,008002,Residential Real Estate Development and Management,Z1101,3
